epoch,loss,val_loss
0,0.0283842914738,0.00500362063944
1,0.00480348978937,0.00471857327595
2,0.00466410550475,0.00466226672754
3,0.00462973400578,0.00464399132133
4,0.00461672843248,0.00464424656332
5,0.0046104747653,0.00463067288324
6,0.00460696304217,0.00465009814501
7,0.00460377734154,0.00464207486808
8,0.00460084794462,0.00463224112988
9,0.00459772955254,0.00464402712882
10,0.00459256415069,0.00464355515316
11,0.00458603185788,0.00463263822347
12,0.00457214540616,0.00463267033547
13,0.00454786322266,0.00461539908871
14,0.00450800012052,0.00458967651427
15,0.00444667479768,0.00452312899381
16,0.00435396121442,0.00442276927829
17,0.00423384423926,0.00430758006126
18,0.00409857076034,0.004172903575
19,0.00395617751963,0.00404051143676
20,0.00380619212426,0.00388805250078
21,0.00364962698705,0.00373499445617
22,0.00348901776597,0.00358956739306
23,0.00333055948839,0.00345420485735
24,0.00317524939217,0.00332003917918
25,0.00302713094279,0.00320189282298
26,0.00288777991198,0.00309439303353
27,0.00275794684142,0.00299339999259
28,0.00263581568934,0.00290144884586
29,0.00252211890183,0.00281882747635
30,0.00241454751976,0.00274473145977
31,0.00231315126456,0.00267412236147
32,0.00221750982665,0.0026126640439
33,0.00212848266587,0.00254583992437
34,0.00204443104193,0.00248671527207
35,0.00196530568413,0.00244446511567
36,0.00189167970512,0.00239863203466
37,0.00182229828928,0.00235873856395
38,0.00175740338862,0.00232416640967
39,0.00169669736549,0.00228935771808
40,0.00163982849009,0.00226638770476
41,0.00158639515284,0.00224292280897
42,0.00153655400872,0.00221599965729
43,0.00149021001253,0.00219226689637
44,0.00144649713393,0.00217379048094
45,0.0014063541228,0.00216753527522
46,0.00136918457225,0.00215064388514
47,0.00133496810496,0.00214385663718
48,0.00130300561711,0.00213641804084
49,0.00127428799681,0.00213472664356
*50,0.00124799916986,0.00212905979156
51,0.00122450358327,0.00212952142768
52,0.00120295276958,0.00213185767457
53,0.00118440412078,0.0021334798485
54,0.00116780004185,0.00213357511163
55,0.00115309356712,0.00212954891659
56,0.00114001195505,0.00214165753126
57,0.00112907101493,0.0021497691907
58,0.00111921087373,0.00215690072253
59,0.00111052848771,0.00216452038102
60,0.00110301931575,0.00217182824761
61,0.00109665057529,0.00219338065945
62,0.00109069869854,0.00220027321018
63,0.00108553111553,0.00221134232357
64,0.00108104093,0.00222367452458
65,0.00107691014465,0.00223763197288
66,0.00107338102255,0.00224996067956
67,0.00107000549603,0.0022631633766
68,0.00106695987517,0.00227272684127
69,0.00106439543981,0.00228797993809
70,0.00106205282779,0.0022960703969
71,0.00106021792162,0.00230848603323
72,0.00105874589738,0.00231948913261
73,0.00105755798705,0.00233221598715
74,0.00105677995458,0.00235003918223
75,0.00105664274329,0.00234949570894
76,0.00105669994326,0.00237230341695
77,0.00105725501571,0.00237838956341
78,0.00105759507883,0.0023866559919
79,0.00105799202435,0.00239372375607
80,0.00105828991439,0.0023959156815
81,0.00105844155326,0.00240147431381
